image,path,width_px,height_px,pixel_size_nm,pixel_size_nm_height,field_width_um,field_height_um,source,error
A126 - Site 48.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A126 - Site 48.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A126 - Site 48.tif' — fall back to measuring the scale bar.
A13 - Site 8.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A13 - Site 8.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A139 - Site 18.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A139 - Site 18.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A139 - Site 18.tif' — fall back to measuring the scale bar.
A139 - Site 20.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A139 - Site 20.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A139 - Site 20.tif' — fall back to measuring the scale bar.
A139 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A139 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A139 - Site 5.tif' — fall back to measuring the scale bar.
A140 - Site 11.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A140 - Site 11.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A140 - Site 11.tif' — fall back to measuring the scale bar.
A30_Site1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A30_Site1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A30_Site2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A30_Site2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A30_Site3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A30_Site3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A30_Site4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A30_Site4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A30_Site5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A30_Site5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A31_Site1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A31_Site1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A31_Site2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A31_Site2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A31_Site3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A31_Site3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A31_Site4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A31_Site4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A31_Site5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A31_Site5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A32 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A32 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A32 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A32 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A32 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A32 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A32 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A32 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A32 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A32 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - 216.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - 216.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A33 - 216.tif' — fall back to measuring the scale bar.
A33 - 217.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - 217.tif,8192,5632,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A33 - 217.tif' — fall back to measuring the scale bar.
A33 - 218.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - 218.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - 225.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - 225.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_001.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_001.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_002.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_002.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_003.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_003.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_004.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_004.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_005.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_005.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A33_10.00kV_0.10nA_22.5nm_500.00ns_006.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_10.00kV_0.10nA_22.5nm_500.00ns_006.tif,6144,4376,22.5,22.5,138.24,98.46,filename,
A33_10.00kV_0.10nA_33.7nm_50.00ns_003.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_10.00kV_0.10nA_33.7nm_50.00ns_003.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_10.00kV_0.10nA_33.7nm_500.00ns_004.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_10.00kV_0.10nA_45.0nm_500.00ns_005.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_10.00kV_0.10nA_45.0nm_500.00ns_005.tif,6144,4376,45.0,45.0,276.48,196.92,filename,
A33_10.00kV_0.20nA_42.2nm_50.00ns_007.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_10.00kV_0.20nA_42.2nm_50.00ns_007.tif,6144,4376,42.2,42.2,259.27680000000004,184.6672,filename,
A33_15.00kV_0.20nA_33.7nm_500.00ns_016.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_15.00kV_0.20nA_33.7nm_500.00ns_016.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_15.00kV_0.20nA_39.7nm_25.00ns_010.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_15.00kV_0.20nA_39.7nm_25.00ns_010.tif,6144,4376,39.7,39.7,243.9168,173.7272,filename,
A33_15.00kV_0.20nA_39.7nm_50.00ns_008.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_15.00kV_0.20nA_39.7nm_50.00ns_008.tif,6144,4376,39.7,39.7,243.9168,173.7272,filename,
A33_15.00kV_0.20nA_39.7nm_50.00ns_009.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_15.00kV_0.20nA_39.7nm_50.00ns_009.tif,6144,4376,39.7,39.7,243.9168,173.7272,filename,
A33_15.00kV_50pA_39.7nm_50.00ns_011.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_15.00kV_50pA_39.7nm_50.00ns_011.tif,6144,4376,39.7,39.7,243.9168,173.7272,filename,
A33_20.00kV_0.20nA_22.5nm_50.00ns_018.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_0.20nA_22.5nm_50.00ns_018.tif,6144,4376,22.5,22.5,138.24,98.46,filename,
A33_20.00kV_0.20nA_33.7nm_50.00ns_017.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_0.20nA_33.7nm_50.00ns_017.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_20.00kV_0.20nA_33.7nm_500.00ns_014.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_0.20nA_33.7nm_500.00ns_014.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_20.00kV_0.20nA_33.7nm_500.00ns_015.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_0.20nA_33.7nm_500.00ns_015.tif,6144,4376,33.7,33.7,207.0528,147.4712,filename,
A33_20.00kV_50pA_39.7nm_25.00ns_013.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_50pA_39.7nm_25.00ns_013.tif,6144,4376,39.7,39.7,243.9168,173.7272,filename,
A33_20.00kV_50pA_89.9nm_15.00µs_021.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A33_20.00kV_50pA_89.9nm_15.00µs_021.tif,1536,1094,89.9,89.9,138.08640000000003,98.3506,filename,
A36 - Site 1.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A36 - Site 1.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A36 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A36 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A36 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A36 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A36 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A36 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A36 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A36 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A37 - Site 2.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A37 - Site 2.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A37 - Site 3.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A37 - Site 3.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A37 - Site 4.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A37 - Site 4.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A37 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A37 - Site 5.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A37 - Site 6.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A37 - Site 6.tif,8192,5632,50.8854209703884,50.8854209703884,416.8533685894218,286.5866909052275,desc-xml:PixelWidth_um,
A41 - Site 12.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A41 - Site 12.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A41 - Site 12.tif' — fall back to measuring the scale bar.
A41 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A41 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A41 - Site 5.tif' — fall back to measuring the scale bar.
A44 - Site 13.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44 - Site 13.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A44 - Site 13.tif' — fall back to measuring the scale bar.
A44 - Site 16.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44 - Site 16.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A44 - Site 16.tif' — fall back to measuring the scale bar.
A44 - Site 5.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44 - Site 5.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A44 - Site 5.tif' — fall back to measuring the scale bar.
A44 - Site 8.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44 - Site 8.tif,2048,1408,,,,,,No plausible pixel size found in 'C:\\Users\\lababr\\Desktop\\Current Training Material - fibers only\\A44 - Site 8.tif' — fall back to measuring the scale bar.
A44_10.00kV_0.10nA_16.9nm_250.00ns_054.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.10nA_16.9nm_250.00ns_054.tif,6144,4376,16.862,16.862,103.600128,73.788112,fei:Scan.PixelWidth,
A44_10.00kV_0.10nA_28.1nm_250.00ns_049.tif,C:\Users\lababr\Desktop\Current Training Material - fibers only\A44_10.00kV_0.10nA_28.1nm_250.00ns_049.tif,6144,4376,28.1033,28.1033,172.6666752,122.9800408,fei:Scan.PixelWidth,
